Pick_number,Team
1,CHI
2,HOU
3,ARI
4,IND
5,SEA
6,DET
7,LV
8,ATL
9,CAR
10,PHI
11,TEN
12,HOU
13,NYJ
14,NE
15,GB
16,WAS
17,PIT
18,DET
19,TB
20,SEA
21,MIA
22,LAC
23,BAL
24,MIN
25,JAX
26,NYG
27,DAL
28,BUF
29,CIN
30,NO
31,PHI
32,KC
33,PIT
34,HOU
35,ARI
36,IND
37,LAR
38,SEA
39,LV
40,CAR
41,NO
42,TEN
43,CLE
44,NYJ
45,ATL
46,GB
47,NE
48,WAS
49,DET
50,PIT
51,TB
52,MIA
53,SEA
54,CHI
55,LAC
56,DET
57,JAX
58,NYG
59,DAL
60,BUF
61,CIN
62,CAR
63,PHI
64,KC
65,CHI
66,HOU
67,ARI
68,DEN
69,DEN
70,LAR
71,LV
72,NO
73,TEN
74,HOU
75,NYJ
76,ATL
77,NE
78,MIA
79,GB
80,IND
81,PIT
82,DET
83,TB
84,SEA
85,MIA
86,LAC
87,BAL
88,MIN
89,JAX
90,NYG
91,DAL
92,BUF
93,CIN
94,CAR
95,PHI
96,KC
97,ARI
98,WAS
99,CLE
100,SF
101,NYG
102,SF
103,SF
104,CHI
105,HOU
106,ARI
107,IND
108,NE
109,DEN
110,LV
111,ATL
112,CLE
113,NYJ
114,ATL
115,CAR
116,NO
117,GB
118,NE
119,WAS
120,MIN
121,PIT
122,JAX
123,KC
124,SEA
125,BAL
126,LAC
127,CLE
128,JAX
129,NYG
130,DAL
131,BUF
132,CIN
133,CAR
134,CHI
135,KC
136,NE
137,LAR
138,CHI
139,HOU
140,BUF
141,IND
142,DEN
143,CLE
144,LV
145,CLE
146,NYJ
147,LV
148,CAR
149,NO
150,TEN
151,CHI
152,GB
153,WAS
154,SEA
155,DET
156,TB
157,SEA
158,SF
159,LAC
160,BAL
161,MIN
162,ATL
163,NYG
164,DAL
165,IND
166,CIN
167,SF
168,NO
169,KC
170,ARI
171,DAL
172,GB
173,LAR
174,SF
175,LV
176,TB
177,DAL
178,MIN
179,MIA
180,NYJ
181,ARI
182,TB
183,LAR
184,DET
185,NE
186,JAX
187,TEN
188,NE
189,HOU
190,LAR
191,CLE
192,LAR
193,NE
194,WAS
195,DET
196,DEN
197,TB
198,KC
199,SEA
200,BAL
201,LAC
202,HOU
203,JAX
204,HOU
205,LV
206,BUF
207,CIN
208,HOU
209,JAX
210,NYG
211,NE
212,LAR
213,DAL
214,ARI
215,LV
216,WAS
217,SF
218,KC
219,NYG
220,KC
221,CHI
222,PHI
223,LV
224,IND
225,SF
226,LAR
227,ATL
228,KC
229,JAX
230,NO
231,TEN
232,CLE
233,TB
234,LV
235,GB
236,WAS
237,PIT
238,GB
239,IND
240,HOU
241,MIA
242,LAC
243,NYG
244,PIT
245,GB
246,NYG
247,DAL
248,ATL
249,CIN
250,SF
251,PHI
252,KC
253,LAR
254,TB
255,NYG
256,SF
257,GB
258,KC
259,NE
260,GB
261,NO
