"Team","Year","Pick_number","stuart","johnson","hill","otc","pff","Round"
"CHI",2024,32,12.5,590,184.3,1175,0.502,1
"HOU",2024,32,12.5,590,184.3,1175,0.502,1
"ARI",2024,32,12.5,590,184.3,1175,0.502,1
"IND",2024,32,12.5,590,184.3,1175,0.502,1
"SEA",2024,32,12.5,590,184.3,1175,0.502,1
"DET",2024,32,12.5,590,184.3,1175,0.502,1
"LV",2024,32,12.5,590,184.3,1175,0.502,1
"ATL",2024,32,12.5,590,184.3,1175,0.502,1
"CAR",2024,32,12.5,590,184.3,1175,0.502,1
"PHI",2024,32,12.5,590,184.3,1175,0.502,1
"TEN",2024,32,12.5,590,184.3,1175,0.502,1
"NYJ",2024,32,12.5,590,184.3,1175,0.502,1
"NE",2024,32,12.5,590,184.3,1175,0.502,1
"GB",2024,32,12.5,590,184.3,1175,0.502,1
"WAS",2024,32,12.5,590,184.3,1175,0.502,1
"PIT",2024,32,12.5,590,184.3,1175,0.502,1
"TB",2024,32,12.5,590,184.3,1175,0.502,1
"MIA",2024,32,12.5,590,184.3,1175,0.502,1
"LAC",2024,32,12.5,590,184.3,1175,0.502,1
"BAL",2024,32,12.5,590,184.3,1175,0.502,1
"MIN",2024,32,12.5,590,184.3,1175,0.502,1
"JAX",2024,32,12.5,590,184.3,1175,0.502,1
"NYG",2024,32,12.5,590,184.3,1175,0.502,1
"DAL",2024,32,12.5,590,184.3,1175,0.502,1
"BUF",2024,32,12.5,590,184.3,1175,0.502,1
"CIN",2024,32,12.5,590,184.3,1175,0.502,1
"NO",2024,32,12.5,590,184.3,1175,0.502,1
"KC",2024,32,12.5,590,184.3,1175,0.502,1
"LAR",2024,32,12.5,590,184.3,1175,0.502,1
"CLE",2024,32,12.5,590,184.3,1175,0.502,1
"DEN",2024,32,12.5,590,184.3,1175,0.502,1
"SF",2024,32,12.5,590,184.3,1175,0.502,1
"CHI",2025,32,12.5,590,184.3,1175,0.502,1
"HOU",2025,32,12.5,590,184.3,1175,0.502,1
"ARI",2025,32,12.5,590,184.3,1175,0.502,1
"IND",2025,32,12.5,590,184.3,1175,0.502,1
"SEA",2025,32,12.5,590,184.3,1175,0.502,1
"DET",2025,32,12.5,590,184.3,1175,0.502,1
"LV",2025,32,12.5,590,184.3,1175,0.502,1
"ATL",2025,32,12.5,590,184.3,1175,0.502,1
"CAR",2025,32,12.5,590,184.3,1175,0.502,1
"PHI",2025,32,12.5,590,184.3,1175,0.502,1
"TEN",2025,32,12.5,590,184.3,1175,0.502,1
"NYJ",2025,32,12.5,590,184.3,1175,0.502,1
"NE",2025,32,12.5,590,184.3,1175,0.502,1
"GB",2025,32,12.5,590,184.3,1175,0.502,1
"WAS",2025,32,12.5,590,184.3,1175,0.502,1
"PIT",2025,32,12.5,590,184.3,1175,0.502,1
"TB",2025,32,12.5,590,184.3,1175,0.502,1
"MIA",2025,32,12.5,590,184.3,1175,0.502,1
"LAC",2025,32,12.5,590,184.3,1175,0.502,1
"BAL",2025,32,12.5,590,184.3,1175,0.502,1
"MIN",2025,32,12.5,590,184.3,1175,0.502,1
"JAX",2025,32,12.5,590,184.3,1175,0.502,1
"NYG",2025,32,12.5,590,184.3,1175,0.502,1
"DAL",2025,32,12.5,590,184.3,1175,0.502,1
"BUF",2025,32,12.5,590,184.3,1175,0.502,1
"CIN",2025,32,12.5,590,184.3,1175,0.502,1
"NO",2025,32,12.5,590,184.3,1175,0.502,1
"KC",2025,32,12.5,590,184.3,1175,0.502,1
"LAR",2025,32,12.5,590,184.3,1175,0.502,1
"CLE",2025,32,12.5,590,184.3,1175,0.502,1
"DEN",2025,32,12.5,590,184.3,1175,0.502,1
"SF",2025,32,12.5,590,184.3,1175,0.502,1
"CHI",2024,64,8.1,270,76.69,810,0.306,2
"HOU",2024,64,8.1,270,76.69,810,0.306,2
"ARI",2024,64,8.1,270,76.69,810,0.306,2
"IND",2024,64,8.1,270,76.69,810,0.306,2
"SEA",2024,64,8.1,270,76.69,810,0.306,2
"DET",2024,64,8.1,270,76.69,810,0.306,2
"LV",2024,64,8.1,270,76.69,810,0.306,2
"ATL",2024,64,8.1,270,76.69,810,0.306,2
"CAR",2024,64,8.1,270,76.69,810,0.306,2
"PHI",2024,64,8.1,270,76.69,810,0.306,2
"TEN",2024,64,8.1,270,76.69,810,0.306,2
"NYJ",2024,64,8.1,270,76.69,810,0.306,2
"NE",2024,64,8.1,270,76.69,810,0.306,2
"GB",2024,64,8.1,270,76.69,810,0.306,2
"WAS",2024,64,8.1,270,76.69,810,0.306,2
"PIT",2024,64,8.1,270,76.69,810,0.306,2
"TB",2024,64,8.1,270,76.69,810,0.306,2
"MIA",2024,64,8.1,270,76.69,810,0.306,2
"LAC",2024,64,8.1,270,76.69,810,0.306,2
"BAL",2024,64,8.1,270,76.69,810,0.306,2
"MIN",2024,64,8.1,270,76.69,810,0.306,2
"JAX",2024,64,8.1,270,76.69,810,0.306,2
"NYG",2024,64,8.1,270,76.69,810,0.306,2
"DAL",2024,64,8.1,270,76.69,810,0.306,2
"BUF",2024,64,8.1,270,76.69,810,0.306,2
"CIN",2024,64,8.1,270,76.69,810,0.306,2
"NO",2024,64,8.1,270,76.69,810,0.306,2
"KC",2024,64,8.1,270,76.69,810,0.306,2
"LAR",2024,64,8.1,270,76.69,810,0.306,2
"CLE",2024,64,8.1,270,76.69,810,0.306,2
"DEN",2024,64,8.1,270,76.69,810,0.306,2
"SF",2024,64,8.1,270,76.69,810,0.306,2
"CHI",2025,64,8.1,270,76.69,810,0.306,2
"HOU",2025,64,8.1,270,76.69,810,0.306,2
"ARI",2025,64,8.1,270,76.69,810,0.306,2
"IND",2025,64,8.1,270,76.69,810,0.306,2
"SEA",2025,64,8.1,270,76.69,810,0.306,2
"DET",2025,64,8.1,270,76.69,810,0.306,2
"LV",2025,64,8.1,270,76.69,810,0.306,2
"ATL",2025,64,8.1,270,76.69,810,0.306,2
"CAR",2025,64,8.1,270,76.69,810,0.306,2
"PHI",2025,64,8.1,270,76.69,810,0.306,2
"TEN",2025,64,8.1,270,76.69,810,0.306,2
"NYJ",2025,64,8.1,270,76.69,810,0.306,2
"NE",2025,64,8.1,270,76.69,810,0.306,2
"GB",2025,64,8.1,270,76.69,810,0.306,2
"WAS",2025,64,8.1,270,76.69,810,0.306,2
"PIT",2025,64,8.1,270,76.69,810,0.306,2
"TB",2025,64,8.1,270,76.69,810,0.306,2
"MIA",2025,64,8.1,270,76.69,810,0.306,2
"LAC",2025,64,8.1,270,76.69,810,0.306,2
"BAL",2025,64,8.1,270,76.69,810,0.306,2
"MIN",2025,64,8.1,270,76.69,810,0.306,2
"JAX",2025,64,8.1,270,76.69,810,0.306,2
"NYG",2025,64,8.1,270,76.69,810,0.306,2
"DAL",2025,64,8.1,270,76.69,810,0.306,2
"BUF",2025,64,8.1,270,76.69,810,0.306,2
"CIN",2025,64,8.1,270,76.69,810,0.306,2
"NO",2025,64,8.1,270,76.69,810,0.306,2
"KC",2025,64,8.1,270,76.69,810,0.306,2
"LAR",2025,64,8.1,270,76.69,810,0.306,2
"CLE",2025,64,8.1,270,76.69,810,0.306,2
"DEN",2025,64,8.1,270,76.69,810,0.306,2
"SF",2025,64,8.1,270,76.69,810,0.306,2
"CHI",2024,96,5.5,116,39.38,596,0.205,3
"HOU",2024,96,5.5,116,39.38,596,0.205,3
"ARI",2024,96,5.5,116,39.38,596,0.205,3
"IND",2024,96,5.5,116,39.38,596,0.205,3
"SEA",2024,96,5.5,116,39.38,596,0.205,3
"DET",2024,96,5.5,116,39.38,596,0.205,3
"LV",2024,96,5.5,116,39.38,596,0.205,3
"ATL",2024,96,5.5,116,39.38,596,0.205,3
"CAR",2024,96,5.5,116,39.38,596,0.205,3
"PHI",2024,96,5.5,116,39.38,596,0.205,3
"TEN",2024,96,5.5,116,39.38,596,0.205,3
"NYJ",2024,96,5.5,116,39.38,596,0.205,3
"NE",2024,96,5.5,116,39.38,596,0.205,3
"GB",2024,96,5.5,116,39.38,596,0.205,3
"WAS",2024,96,5.5,116,39.38,596,0.205,3
"PIT",2024,96,5.5,116,39.38,596,0.205,3
